id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username	topic_cluster	topic_keywords
954901073587834882	42843		https://twitter.com/realDonaldTrump/status/954901073587834882	5575	1516501080	Eric Trump on  @JudgeJeanine on  @FoxNews now!	[]	['JudgeJeanine', 'FoxNews']		realDonaldTrump	1	Fake news
954878124214415360	143172		https://twitter.com/realDonaldTrump/status/954878124214415360	28379	1516495620	The Trump Administration has terminated more UNNECESSARY Regulation, in just twelve months, than any other Administration has terminated during their full term in office, no matter what the length. The good news is, THERE IS MUCH MORE TO COME!	[]	[]		realDonaldTrump	3	His achievements self-promoted
954843844402647040	121009		https://twitter.com/realDonaldTrump/status/954843844402647040	25639	1516487460	Unprecedented success for our Country, in so many ways, since the Election. Record Stock Market, Strong on Military, Crime, Borders, & ISIS, Judicial Strength & Numbers, Lowest Unemployment for Women & ALL, Massive Tax Cuts, end of Individual Mandate - and so much more. Big 2018!	[]	[]		realDonaldTrump	3	His achievements self-promoted
954788467069870081	192387		https://twitter.com/realDonaldTrump/status/954788467069870081	46624	1516474260	Beautiful weather all over our great country, a perfect day for all Women to March. Get out there now to celebrate the historic milestones and unprecedented economic success and wealth creation that has taken place over the last 12 months. Lowest female unemployment in 18 years!	[]	[]		realDonaldTrump	3	His achievements self-promoted
954722155463430145	155119		https://twitter.com/realDonaldTrump/status/954722155463430145	39540	1516458420	Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that happen!	[]	[]		realDonaldTrump	2	Russian interference on Election
954681839419101185	113237		https://twitter.com/realDonaldTrump/status/954681839419101185	27929	1516448820	 #AMERICA FIRST!	['AMERICA']	[]		realDonaldTrump	2	Russian interference on Election
954680914998648833	143362		https://twitter.com/realDonaldTrump/status/954680914998648833	35814	1516448640	For those asking, the Republicans only have 51 votes in the Senate, and they need 60. That is why we need to win more Republicans in 2018 Election! We can then be even tougher on Crime (and Border), and even better to our Military & Veterans!	[]	[]		realDonaldTrump	2	Russian interference on Election
954678287820902401	113719		https://twitter.com/realDonaldTrump/status/954678287820902401	26747	1516447980	This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present.  #DemocratShutdown	['DemocratShutdown']	[]		realDonaldTrump	2	Russian interference on Election
954674157144477696	133493		https://twitter.com/realDonaldTrump/status/954674157144477696	37722	1516447020	Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dangerous Southern Border. They could have easily made a deal but decided to play Shutdown politics instead.  #WeNeedMoreRepublicansIn18 in order to power through mess!	['WeNeedMoreRepublicansIn18']	[]		realDonaldTrump	2	Russian interference on Election
954541219970977793	108104		https://twitter.com/realDonaldTrump/status/954541219970977793	27746	1516415280	Not looking good for our great Military or Safety & Security on the very dangerous Southern Border. Dems want a Shutdown in order to help diminish the great success of the Tax Cuts, and what they are doing for our booming economy.	[]	[]		realDonaldTrump	3	His achievements self-promoted
